i,counter,word
1115, 98, circumstance
1116, 98, understood
1117, 98, october
1118, 98, conditions
1119, 98, title
1120, 98, bar
1121, 98, die
1122, 97, bell
1123, 97, safe
1124, 97, footnote
1125, 97, admitted
1126, 97, nearer
1127, 97, beg
1128, 97, prince
1129, 97, virginia
1130, 97, kitten
1131, 97, species
1132, 97, falling
1133, 97, evidently
1134, 97, break
1135, 97, portion
1136, 96, caused
1137, 96, meantime
1138, 96, cost
1139, 96, thy
1140, 96, trying
1141, 96, supply
1142, 96, thou
1143, 96, pale
1144, 96, meeting
1145, 96, bit
1146, 95, horror
1147, 95, concluded
1148, 95, ship
1149, 95, language
1150, 95, offered
1151, 95, narrow
1152, 95, laugh
1153, 95, marquis
1154, 95, arabella
1155, 95, minor
1156, 95, removed
1157, 95, windows
1158, 94, union
1159, 94, thence
1160, 94, suggested
1161, 94, approached
1162, 94, ocean
1163, 94, belief
1164, 94, curious
1165, 94, meant
1166, 94, asleep
1167, 94, proved
1168, 94, page
1169, 94, consider
1170, 94, thee
1171, 94, gate
1172, 93, smiled
1173, 93, universal
1174, 93, declared
1175, 93, lying
1176, 93, sweet
1177, 93, owner
1178, 93, slight
1179, 93, banks
1180, 93, political
1181, 93, control
1182, 93, follows
1183, 93, stream
1184, 93, premiss
1185, 93, english
1186, 92, sorry
1187, 92, possibly
1188, 92, later
1189, 92, hills
1190, 92, throughout
1191, 92, distribution
1192, 92, prove
1193, 92, dog
1194, 92, boys
1195, 92, corinth
1196, 92, reports
1197, 92, distribute
1198, 92, leg
1199, 92, september
1200, 92, assumed
1201, 92, dreadful
1202, 92, relation
1203, 92, changed
1204, 92, proof
1205, 91, definition
1206, 91, nobody
1207, 91, afternoon
1208, 91, express
1209, 91, provisions
1210, 91, mighty
1211, 91, davis
1212, 91, escaped
1213, 91, route
1214, 91, regarded
1215, 91, search
1216, 91, attributes
1217, 91, capital
1218, 91, begin
1219, 91, tax
1220, 91, fancy
1221, 90, aristotle
1222, 90, rebels
1223, 90, evidence
1224, 90, wot
1225, 90, pointed
1226, 90, medium
1227, 90, r
1228, 90, thrown
1229, 90, necessity
1230, 90, completely
1231, 90, quickly
1232, 90, ebooks
1233, 90, event
1234, 90, madame
1235, 89, seventeenth
1236, 89, palace
1237, 89, succeeded
1238, 89, vain
1239, 89, closely
1240, 89, breakfast
1241, 89, fate
1242, 89, sooner
1243, 89, putting
1244, 89, buggy
1245, 89, talking
1246, 89, hurried
1247, 89, explain
1248, 89, request
1249, 89, scientific
1250, 89, rule
1251, 89, james
1252, 89, judgment
1253, 89, queer
1254, 88, rich
1255, 88, distant
1256, 88, rising
1257, 88, apartment
1258, 88, g
1259, 88, weather
1260, 88, stage
1261, 88, pair
1262, 88, game
1263, 88, admit
1264, 88, finding
1265, 88, prison
1266, 88, besides
1267, 88, threw
1268, 88, study
1269, 88, built
1270, 88, illinois
1271, 87, blair
1272, 87, stay
1273, 87, distributing
1274, 87, questions
1275, 87, married
1276, 87, entirely
1277, 87, considered
1278, 87, anybody
1279, 87, allowed
1280, 87, seated
1281, 87, acquaintance
1282, 87, pell
1283, 87, material
1284, 87, clerk
1285, 87, quietly
1286, 86, arranged
1287, 86, bodies
1288, 86, grass
1289, 86, results
1290, 86, surprise
1291, 86, according
1292, 86, excited
1293, 86, freely
1294, 86, induction
1295, 86, showed
1296, 86, ear
1297, 86, rock
1298, 86, extremely
1299, 86, club
1300, 86, attached
1301, 86, edge
1302, 85, woods
1303, 85, intended
1304, 85, smart
1305, 85, resolved
1306, 85, cast
1307, 85, wrote
1308, 85, obtain
1309, 85, walking
1310, 85, co
1311, 85, pushed
1312, 85, ii
1313, 85, damages
1314, 85, square
1315, 85, anyone
1316, 85, numerous
1317, 85, upper
1318, 85, impression
1319, 85, destroyed
1320, 84, honor
1321, 84, excitement
1322, 84, ears
1323, 84, royal
1324, 84, trotter
1325, 84, stanton
1326, 84, lower
1327, 84, logical
1328, 84, equally
1329, 84, features
1330, 84, fish
1331, 84, disappeared
1332, 84, animals
1333, 84, lies
1334, 84, serious
1335, 83, mason
1336, 83, web
1337, 83, using
1338, 83, nice
1339, 83, astonishment
1340, 83, chamber
1341, 83, visible
1342, 83, system
1343, 83, rules
1344, 83, wonderful
1345, 83, navy
1346, 83, terror
1347, 83, circle
1348, 83, william
1349, 83, yesterday
1350, 83, otherwise
1351, 82, aquareine
1352, 82, ceased
1353, 82, description
1354, 82, flag
1355, 82, retired
1356, 82, greatly
1357, 82, companies
1358, 82, goldsboro
1359, 82, predicate
1360, 82, truly
1361, 82, boots
1362, 82, warm
1363, 82, approach
1364, 82, necessarily
1365, 82, sailor
1366, 81, fifteen
1367, 81, burst
1368, 81, justice
1369, 81, dressed
1370, 81, yellow
1371, 81, animal
1372, 81, surely
1373, 81, noticed
1374, 81, nose
1375, 81, difficult
1376, 81, issued
1377, 81, mass
1378, 81, cry
1379, 81, value
1380, 81, sides
1381, 81, holding
1382, 81, flowers
1383, 81, bay
1384, 81, distinct
1385, 81, soft
1386, 81, rise
1387, 81, rain
1388, 81, driven
1389, 81, separate
1390, 81, art
1391, 80, fro
1392, 80, learn
1393, 80, stiggins
1394, 80, bore
1395, 80, u
1396, 80, absolutely
1397, 80, school
1398, 80, gained
1399, 80, spread
1400, 80, physical
1401, 80, reference
1402, 80, oz
1403, 80, health
1404, 80, delay
1405, 80, thick
1406, 80, crossing
1407, 80, satisfaction
1408, 80, beauty
1409, 80, quantity
1410, 80, marked
1411, 80, notes
1412, 79, orleans
1413, 79, appointed
1414, 79, destruction
1415, 79, commission
1416, 79, magnus
1417, 79, faint
1418, 79, distinguished
1419, 79, mission
1420, 79, dare
1421, 79, gently
1422, 79, martian
1423, 79, alabama
1424, 79, accident
1425, 79, observe
1426, 79, burning
1427, 79, wilmington
1428, 79, powers
1429, 79, measure
1430, 79, double
1431, 78, golden
1432, 78, brigades
1433, 78, pulled
1434, 78, additional
1435, 78, telegraph
1436, 78, sister
1437, 78, rendered
1438, 78, corn
1439, 78, theory
1440, 78, louisville
1441, 78, message
1442, 78, bayou
1443, 78, ozma
1444, 78, accepted
1445, 78, seized
1446, 78, active
1447, 78, movements
1448, 78, remarkable
1449, 77, marched
1450, 77, individuals
1451, 77, gun
1452, 77, inquiry
1453, 77, safety
1454, 77, likely
1455, 77, pipe
1456, 77, naturally
1457, 77, trial
1458, 77, interposed
1459, 77, comply
1460, 77, protect
1461, 77, legal
1462, 77, looks
1463, 77, members
1464, 77, hearing
1465, 77, slow
1466, 77, aide
1467, 77, accompanied
1468, 77, wore
1469, 77, write
1470, 77, premisses
1471, 77, bottle
