i,counter,word
1417, 215, nobody
1418, 215, stay
1419, 215, likely
1420, 215, numbers
1421, 215, settled
1422, 215, organized
1423, 215, mighty
1424, 215, search
1425, 215, origin
1426, 215, mass
1427, 215, related
1428, 214, telling
1429, 214, growing
1430, 214, increase
1431, 214, distribute
1432, 214, h
1433, 214, saved
1434, 213, streets
1435, 213, michael
1436, 213, reaching
1437, 213, plan
1438, 213, intellectual
1439, 213, confusion
1440, 213, regiment
1441, 213, devil
1442, 213, proposition
1443, 213, impression
1444, 213, arrival
1445, 212, armies
1446, 212, modification
1447, 212, posted
1448, 212, nations
1449, 212, youth
1450, 212, meeting
1451, 211, errors
1452, 211, web
1453, 211, chamber
1454, 211, wise
1455, 211, jaggers
1456, 211, principal
1457, 211, duties
1458, 211, gods
1459, 211, parent
1460, 210, taught
1461, 210, christmas
1462, 210, medium
1463, 210, record
1464, 210, asleep
1465, 210, falling
1466, 209, rising
1467, 209, dollars
1468, 209, nose
1469, 209, visible
1470, 209, mission
1471, 209, federation
1472, 209, lies
1473, 209, adrian
1474, 208, breakfast
1475, 208, touch
1476, 208, afterward
1477, 208, christ
1478, 207, april
1479, 207, wine
1480, 207, indians
1481, 207, aid
1482, 207, finding
1483, 207, singular
1484, 207, attached
1485, 206, allen
1486, 206, agreed
1487, 206, played
1488, 206, generations
1489, 205, mowgli
1490, 205, roof
1491, 205, artillery
1492, 205, tea
1493, 205, obliged
1494, 205, satisfied
1495, 205, directed
1496, 204, creatures
1497, 204, nevertheless
1498, 204, recent
1499, 204, pipe
1500, 204, shop
1501, 204, civil
1502, 204, obtain
1503, 204, employed
1504, 204, active
1505, 204, built
1506, 203, extended
1507, 203, hall
1508, 203, twice
1509, 203, descended
1510, 203, thick
1511, 203, loved
1512, 203, habit
1513, 202, using
1514, 202, included
1515, 202, accompanied
1516, 202, connected
1517, 202, campaign
1518, 202, greek
1519, 202, remembered
1520, 201, phrase
1521, 201, declared
1522, 201, leaves
1523, 201, accept
1524, 201, comply
1525, 201, looks
1526, 201, highly
1527, 201, ages
1528, 201, follows
1529, 200, huge
1530, 200, sixty
1531, 200, excellent
1532, 200, creation
1533, 200, contact
1534, 200, acquaintance
1535, 200, sapps
1536, 200, france
1537, 200, windows
1538, 199, constant
1539, 199, description
1540, 199, cover
1541, 199, health
1542, 199, series
1543, 199, drink
1544, 199, scientific
1545, 199, brown
1546, 199, assumed
1547, 199, destroyed
